id,firstname,lastname,fatherwords,motherwords,lwords,gendre
15180723,MarisaPenalozaNPR,None,0,0,0,0.13
14985228,Peter,Sagal,0,0,0,-0.99
14959921,Alicia,Cypress,0,0,0,0.5
14747653,Lee,Hill,0,0,0,-0.88
14742532,Jessica,Smith,0,0,0,1
14570738,Brian,Boyer,0,0,0,-1
14425176,Irakli,Nadareishvili,0,0,0,-1
14421789,sarahhandel,None,0,0,0,0.13
14410756,joepalca,None,0,0,0,0.13
14372368,zbrand,None,0,0,0,-0.13
14360771,Matthew,Bell,0,0,0,-0.99
14345238,Trey,Graham,0,0,0,-1
14343727,Joe,Neel,0,0,0,-0.48
14269828,Tim,Akimoff,0,0,0,-1
14135641,David,Wright,0,0,0,-0.99
14091029,ericathas,None,0,0,0,0.13
14067246,Eric,NPR,0,0,0,-0.99
13784492,NPR,Business,0,0,0,-0.13
13735902,Si,Sikes,0,0,0,-0.38
13734272,keithwoods,None,0,0,0,-0.13
13045342,Joanna,Kakissis,0,0,0,1
12811862,Ailsa,Chang,0,0,0,1
12800862,Eyder,Peralta,0,0,0,0.07
12324132,Beth,Novey,0,0,0,1
12252302,Didrik,Schanche,0,0,0,-0.5
12229702,Wright,Bryan,0,0,0,-1
11680962,Juana,Summers,0,0,0,1
11621822,David,Folkenflik,0,0,0,-0.99
11074842,Mark,Stencel,0,0,0,-0.99
10759992,Frank,James,0,0,0,-1
10287452,Keith,Hopper,0,0,0,-0.99
10232022,Melody,Kramer,0,0,0,1
10007212,Matt,Thompson,0,0,0,-1
9131962,Max,Pfennighaus,0,0,0,-0.99
8737052,John,Poole,0,0,0,-1
7832552,Kinsey,Wilson,0,0,0,0.97
7764502,Javaun,Moradi,0,0,0,-1
7709912,Steve,Mullis,0,0,0,-0.99
7073752,Constance,Miller,0,0,0,1
6170212,nina,gregory,0,0,0,1
6114752,Laura,Sydell,0,0,0,1
6042932,Sara,Sarasohn,0,0,0,1
5371532,Tracy,Wahl,0,0,0,0.87
5130591,Patrick,Cooper,0,0,0,-0.99
4884291,Rachel,Ward,0,0,0,1
4480381,JJ,Sutherland,0,0,0,-1
4205481,Vincent,Farquharson,0,0,0,-0.99
2100521,Jonathan,Coulton,0,0,0,-1
1827901,Robert,NPR,0,0,0,-1
1528081,Steve,Mulder,0,0,0,-1
1166301,Ali,Lozoff,0,0,0,-0.2
633063,Wesley,Lindamood,0,0,0,-0.98
